drug,threshold,balanced_accuracy
afatinib,0.34,0.7272727272727273
afatinib,0.35000000000000003,0.7727272727272727
afatinib,0.36,0.7727272727272727
afatinib,0.37,0.7727272727272727
afatinib,0.38,0.7727272727272727
afatinib,0.39,0.7727272727272727
afatinib,0.4,0.7727272727272727
afatinib,0.41000000000000003,0.7727272727272727
afatinib,0.42,0.7727272727272727
afatinib,0.43,0.7727272727272727
afatinib,0.44,0.7727272727272727
afatinib,0.45,0.7727272727272727
afatinib,0.46,0.7727272727272727
afatinib,0.47000000000000003,0.7727272727272727
afatinib,0.48,0.7727272727272727
afatinib,0.49,0.7727272727272727
afatinib,0.5,0.7272727272727273
afatinib,0.51,0.7272727272727273
afatinib,0.52,0.7272727272727273
afatinib,0.53,0.7727272727272727
afatinib,0.54,0.7727272727272727
afatinib,0.55,0.7727272727272727
afatinib,0.56,0.6818181818181819
afatinib,0.5700000000000001,0.6818181818181819
afatinib,0.58,0.7727272727272727
afatinib,0.59,0.6818181818181819
afatinib,0.6,0.6363636363636364
afatinib,0.61,0.5909090909090909
afatinib,0.62,0.5909090909090909
afatinib,0.63,0.5454545454545454
afatinib,0.64,0.5454545454545454
afatinib,0.65,0.5
afatinib,0.66,0.5
afatinib,0.67,0.5
afatinib,0.68,0.5
afatinib,0.6900000000000001,0.5
afatinib,0.7000000000000001,0.5
afatinib,0.71,0.5
afatinib,0.72,0.5
afatinib,0.73,0.5
afatinib,0.74,0.5
afatinib,0.75,0.5
afatinib,0.76,0.5
afatinib,0.77,0.5
afatinib,0.78,0.5
afatinib,0.79,0.5
afatinib,0.8,0.5
afatinib,0.81,0.5
afatinib,0.8200000000000001,0.5
afatinib,0.8300000000000001,0.5
afatinib,0.84,0.5
afatinib,0.85,0.5
afatinib,0.86,0.5
afatinib,0.87,0.5
afatinib,0.88,0.5
afatinib,0.89,0.5
afatinib,0.9,0.5
afatinib,0.91,0.5
afatinib,0.92,0.5
afatinib,0.93,0.5
afatinib,0.9400000000000001,0.5
afatinib,0.9500000000000001,0.5
afatinib,0.96,0.5
afatinib,0.97,0.5
afatinib,0.98,0.5
afatinib,0.99,0.5
afatinib,1.0,0.5
palbociclib,0.0,0.5
palbociclib,0.01,0.5
palbociclib,0.02,0.5
palbociclib,0.03,0.5
palbociclib,0.04,0.5
palbociclib,0.05,0.5
palbociclib,0.06,0.5
palbociclib,0.07,0.5
palbociclib,0.08,0.5
palbociclib,0.09,0.5
palbociclib,0.1,0.5
palbociclib,0.11,0.5
palbociclib,0.12,0.5
palbociclib,0.13,0.5
palbociclib,0.14,0.5
palbociclib,0.15,0.5
palbociclib,0.16,0.5
palbociclib,0.17,0.5
palbociclib,0.18,0.5
palbociclib,0.19,0.5
palbociclib,0.2,0.5
palbociclib,0.21,0.5
palbociclib,0.22,0.5
palbociclib,0.23,0.5
palbociclib,0.24,0.5
palbociclib,0.25,0.5
palbociclib,0.26,0.5
palbociclib,0.27,0.5
palbociclib,0.28,0.5
palbociclib,0.29,0.5
palbociclib,0.3,0.5
palbociclib,0.31,0.5
palbociclib,0.32,0.5
palbociclib,0.33,0.5
palbociclib,0.34,0.5
palbociclib,0.35000000000000003,0.5
palbociclib,0.36,0.5
palbociclib,0.37,0.5
palbociclib,0.38,0.5454545454545454
palbociclib,0.39,0.5454545454545454
palbociclib,0.4,0.5909090909090909
palbociclib,0.41000000000000003,0.5909090909090909
palbociclib,0.42,0.5909090909090909
palbociclib,0.43,0.5909090909090909
palbociclib,0.44,0.6363636363636364
palbociclib,0.45,0.6363636363636364
palbociclib,0.46,0.6363636363636364
palbociclib,0.47000000000000003,0.6363636363636364
palbociclib,0.48,0.6363636363636364
palbociclib,0.49,0.6363636363636364
palbociclib,0.5,0.5454545454545454
palbociclib,0.51,0.5454545454545454
palbociclib,0.52,0.5
palbociclib,0.53,0.5454545454545454
palbociclib,0.54,0.5
palbociclib,0.55,0.5
palbociclib,0.56,0.5
palbociclib,0.5700000000000001,0.5454545454545454
palbociclib,0.58,0.5454545454545454
palbociclib,0.59,0.5
palbociclib,0.6,0.40909090909090906
palbociclib,0.61,0.4090909090909091
palbociclib,0.62,0.36363636363636365
palbociclib,0.63,0.45454545454545453
palbociclib,0.64,0.5
palbociclib,0.65,0.5
palbociclib,0.66,0.5
palbociclib,0.67,0.5
palbociclib,0.68,0.5
palbociclib,0.6900000000000001,0.5
palbociclib,0.7000000000000001,0.5
palbociclib,0.71,0.5
palbociclib,0.72,0.5
palbociclib,0.73,0.5
palbociclib,0.74,0.5
palbociclib,0.75,0.5
palbociclib,0.76,0.5
palbociclib,0.77,0.5
palbociclib,0.78,0.5
palbociclib,0.79,0.5
palbociclib,0.8,0.5
palbociclib,0.81,0.5
palbociclib,0.8200000000000001,0.5
palbociclib,0.8300000000000001,0.5
palbociclib,0.84,0.5
palbociclib,0.85,0.5
palbociclib,0.86,0.5
palbociclib,0.87,0.5
palbociclib,0.88,0.5
palbociclib,0.89,0.5
palbociclib,0.9,0.5
palbociclib,0.91,0.5
palbociclib,0.92,0.5
palbociclib,0.93,0.5
palbociclib,0.9400000000000001,0.5
palbociclib,0.9500000000000001,0.5
palbociclib,0.96,0.5
palbociclib,0.97,0.5
palbociclib,0.98,0.5
palbociclib,0.99,0.5
palbociclib,1.0,0.5
olaparib,0.0,0.5
olaparib,0.01,0.5
olaparib,0.02,0.5
olaparib,0.03,0.5
olaparib,0.04,0.5
olaparib,0.05,0.5
olaparib,0.06,0.5
olaparib,0.07,0.5
olaparib,0.08,0.5
olaparib,0.09,0.5
olaparib,0.1,0.5
olaparib,0.11,0.5
olaparib,0.12,0.5
olaparib,0.13,0.5
olaparib,0.14,0.5
olaparib,0.15,0.5
olaparib,0.16,0.5
olaparib,0.17,0.5
olaparib,0.18,0.5
olaparib,0.19,0.5
olaparib,0.2,0.5
olaparib,0.21,0.5
olaparib,0.22,0.5
olaparib,0.23,0.5
olaparib,0.24,0.5
olaparib,0.25,0.5
olaparib,0.26,0.5
olaparib,0.27,0.5
olaparib,0.28,0.5
olaparib,0.29,0.5
olaparib,0.3,0.5
olaparib,0.31,0.5
olaparib,0.32,0.5
olaparib,0.33,0.5
olaparib,0.34,0.5
olaparib,0.35000000000000003,0.5
olaparib,0.36,0.5
olaparib,0.37,0.5
olaparib,0.38,0.5
olaparib,0.39,0.5
olaparib,0.4,0.5
olaparib,0.41000000000000003,0.5
olaparib,0.42,0.5
olaparib,0.43,0.5
olaparib,0.44,0.5416666666666666
olaparib,0.45,0.5833333333333334
olaparib,0.46,0.5
olaparib,0.47000000000000003,0.5416666666666667
olaparib,0.48,0.5833333333333334
olaparib,0.49,0.7083333333333334
olaparib,0.5,0.625
olaparib,0.51,0.625
olaparib,0.52,0.5833333333333333
olaparib,0.53,0.5833333333333333
olaparib,0.54,0.5833333333333333
olaparib,0.55,0.5833333333333334
olaparib,0.56,0.5833333333333334
olaparib,0.5700000000000001,0.6666666666666666
olaparib,0.58,0.5833333333333334
olaparib,0.59,0.5
olaparib,0.6,0.5
olaparib,0.61,0.5
olaparib,0.62,0.5
olaparib,0.63,0.5
olaparib,0.64,0.5
olaparib,0.65,0.5
olaparib,0.66,0.5
olaparib,0.67,0.5
olaparib,0.68,0.5
olaparib,0.6900000000000001,0.5
olaparib,0.7000000000000001,0.5
olaparib,0.71,0.5
olaparib,0.72,0.5
olaparib,0.73,0.5
olaparib,0.74,0.5
olaparib,0.75,0.5
olaparib,0.76,0.5
olaparib,0.77,0.5
olaparib,0.78,0.5
olaparib,0.79,0.5
olaparib,0.8,0.5
olaparib,0.81,0.5
olaparib,0.8200000000000001,0.5
olaparib,0.8300000000000001,0.5
olaparib,0.84,0.5
olaparib,0.85,0.5
olaparib,0.86,0.5
olaparib,0.87,0.5
olaparib,0.88,0.5
olaparib,0.89,0.5
olaparib,0.9,0.5
olaparib,0.91,0.5
olaparib,0.92,0.5
olaparib,0.93,0.5
olaparib,0.9400000000000001,0.5
olaparib,0.9500000000000001,0.5
olaparib,0.96,0.5
olaparib,0.97,0.5
olaparib,0.98,0.5
olaparib,0.99,0.5
olaparib,1.0,0.5
gemcitabine,0.0,0.5
gemcitabine,0.01,0.5
gemcitabine,0.02,0.5
gemcitabine,0.03,0.5
gemcitabine,0.04,0.5
gemcitabine,0.05,0.5
gemcitabine,0.06,0.5
gemcitabine,0.07,0.5
gemcitabine,0.08,0.5
gemcitabine,0.09,0.5
gemcitabine,0.1,0.5
gemcitabine,0.11,0.5
gemcitabine,0.12,0.5
gemcitabine,0.13,0.5
gemcitabine,0.14,0.5
gemcitabine,0.15,0.5
gemcitabine,0.16,0.5
gemcitabine,0.17,0.5
gemcitabine,0.18,0.5
gemcitabine,0.19,0.5
gemcitabine,0.2,0.5
gemcitabine,0.21,0.5
gemcitabine,0.22,0.5
gemcitabine,0.23,0.5
gemcitabine,0.24,0.5
gemcitabine,0.25,0.5
gemcitabine,0.26,0.5
gemcitabine,0.27,0.5
gemcitabine,0.28,0.5
gemcitabine,0.29,0.5
gemcitabine,0.3,0.5
gemcitabine,0.31,0.5
gemcitabine,0.32,0.5
gemcitabine,0.33,0.5
gemcitabine,0.34,0.5
gemcitabine,0.35000000000000003,0.5
gemcitabine,0.36,0.5
gemcitabine,0.37,0.5
gemcitabine,0.38,0.5
gemcitabine,0.39,0.5
gemcitabine,0.4,0.5
gemcitabine,0.41000000000000003,0.5
gemcitabine,0.42,0.5
gemcitabine,0.43,0.5
gemcitabine,0.44,0.5
gemcitabine,0.45,0.5
gemcitabine,0.46,0.5
gemcitabine,0.47000000000000003,0.5
gemcitabine,0.48,0.5
gemcitabine,0.49,0.5
gemcitabine,0.5,0.5555555555555556
gemcitabine,0.51,0.5555555555555556
gemcitabine,0.52,0.5
gemcitabine,0.53,0.5
gemcitabine,0.54,0.5
gemcitabine,0.55,0.5
gemcitabine,0.56,0.5
gemcitabine,0.5700000000000001,0.5
gemcitabine,0.58,0.5
gemcitabine,0.59,0.5
gemcitabine,0.6,0.5
gemcitabine,0.61,0.5
gemcitabine,0.62,0.5
gemcitabine,0.63,0.5
gemcitabine,0.64,0.5
gemcitabine,0.65,0.5
gemcitabine,0.66,0.5
gemcitabine,0.67,0.5
gemcitabine,0.68,0.5
gemcitabine,0.6900000000000001,0.5
gemcitabine,0.7000000000000001,0.5
gemcitabine,0.71,0.5
gemcitabine,0.72,0.5
gemcitabine,0.73,0.5
gemcitabine,0.74,0.5
gemcitabine,0.75,0.5
gemcitabine,0.76,0.5
gemcitabine,0.77,0.5
gemcitabine,0.78,0.5
gemcitabine,0.79,0.5
gemcitabine,0.8,0.5
gemcitabine,0.81,0.5
gemcitabine,0.8200000000000001,0.5
gemcitabine,0.8300000000000001,0.5
gemcitabine,0.84,0.5
gemcitabine,0.85,0.5
gemcitabine,0.86,0.5
gemcitabine,0.87,0.5
gemcitabine,0.88,0.5
gemcitabine,0.89,0.5
gemcitabine,0.9,0.5
gemcitabine,0.91,0.5
gemcitabine,0.92,0.5
gemcitabine,0.93,0.5
gemcitabine,0.9400000000000001,0.5
gemcitabine,0.9500000000000001,0.5
gemcitabine,0.96,0.5
gemcitabine,0.97,0.5
gemcitabine,0.98,0.5
gemcitabine,0.99,0.5
gemcitabine,1.0,0.5
